CNTR_NAME;Unemployment_2024
Bosnia and Herzegovina;
Montenegro;
North Macedonia;
Czechia;2,6
Poland;2,9
Malta;3,1
Germany;3,4
Iceland;3,6
Netherlands;3,7
Slovenia;3,7
Norway;4,0
Bulgaria;4,2
Ireland;4,3
Switzerland;4,4
Hungary;4,5
Cyprus;4,9
Croatia;5,0
Austria;5,2
Slovakia;5,3
Romania;5,4
Belgium;5,7
Denmark;6,2
Luxembourg;6,4
Italy;6,5
Portugal;6,5
Latvia;6,9
Lithuania;7,1
France;7,4
Estonia;7,6
Finland;8,4
Sweden;8,4
Serbia;8,6
Türkiye;8,8
Greece;10,1
Spain;11,4
